annotation_id	typeOfAnalysis	p_times	ranking
hsa04910	Target_NonCentral	0.1	140.0
hsa04064	Target_NonCentral	0.201	140.0
hsa05216	Target_NonCentral	0.059	140.0
hsa00983	Target_NonCentral	0.142	140.0
hsa05220	Target_NonCentral	0.088	140.5
hsa04215	Target_NonCentral	0.113	140.5
hsa04530	Target_NonCentral	0.071	140.5
hsa05321	Target_NonCentral	0.208	141.0
hsa04020	Target_NonCentral	0.116	141.0
hsa05164	Target_NonCentral	0.228	141.5
hsa04213	Target_Hypergeom	0.513	142.0
hsa05217	Target_Hypergeom	0.507	142.0
hsa04068	Target_NonCentral	0.155	142.0
hsa04071	Target_NonCentral	0.068	142.5
hsa04961	Target_NonCentral	0.076	143.0
hsa04022	Target_Hypergeom	0.49	143.0
hsa04933	Target_NonCentral	0.174	143.5
hsa04728	Target_NonCentral	0.053	144.0
hsa04660	Target_NonCentral	0.083	144.0
hsa04370	Target_NonCentral	0.025	145.0
hsa04725	Target_NonCentral	0.051	145.0
hsa05120	Target_Hypergeom	0.477	145.75
hsa00350	Target_NonCentral	0.102	146.0
hsa04512	Target_Hypergeom	0.48	146.25
hsa04145	Target_NonCentral	0.193	146.5
hsa05414	Target_NonCentral	0.048	147.5
hsa05132	Target_NonCentral	0.073	147.5
hsa04012	Target_NonCentral	0.033	148.0
hsa04360	Target_Hypergeom	0.455	148.0
hsa05214	Target_NonCentral	0.095	148.5
hsa04979	Target_NonCentral	0.173	149.0
hsa04720	Target_NonCentral	0.049	149.5
hsa04066	Target_NonCentral	0.102	149.5
hsa04910	Target_Hypergeom	0.443	149.5
hsa04927	Target_NonCentral	0.078	150.0
hsa04973	Target_NonCentral	0.065	150.0
hsa05416	Target_NonCentral	0.113	150.0
hsa04666	Target_Hypergeom	0.447	150.0
hsa05171	TFs_Hypergeom	0.072	150.5
hsa05340	Target_NonCentral	0.098	150.5
hsa04750	Target_NonCentral	0.056	151.0
hsa04371	Target_NonCentral	0.034	151.0
hsa00052	Target_NonCentral	0.1	151.0
hsa04913	Target_NonCentral	0.08	151.0
hsa04960	Target_Hypergeom	0.426	151.0
hsa05223	Target_NonCentral	0.084	151.0
hsa00230	Target_NonCentral	0.053	151.5
hsa04921	Target_NonCentral	0.035	152.0
hsa04140	Target_Hypergeom	0.417	152.0
hsa04144	Target_Hypergeom	0.404	152.0
hsa05130	Target_NonCentral	0.027	152.5
hsa01522	Target_NonCentral	0.035	152.5
hsa01524	Target_NonCentral	0.106	153.0
hsa04961	Target_Hypergeom	0.399	153.0
hsa04976	Target_Hypergeom	0.434	153.0
hsa05217	Target_NonCentral	0.083	153.0
hsa04974	Target_NonCentral	0.086	153.0
hsa05142	Target_NonCentral	0.063	154.0
hsa05323	Target_NonCentral	0.239	154.5
hsa04750	Target_Hypergeom	0.402	154.75
hsa04912	Target_NonCentral	0.028	155.0
hsa05410	Target_NonCentral	0.034	155.5
hsa04976	Target_NonCentral	0.145	156.0
hsa05212	Target_NonCentral	0.098	156.5
hsa04922	Target_Hypergeom	0.402	157.0
hsa05170	Target_NonCentral	0.093	157.0
hsa04713	Target_NonCentral	0.064	157.0
hsa05225	Target_NonCentral	0.074	157.5
hsa01240	Target_NonCentral	0.098	157.5
hsa00010	Target_NonCentral	0.149	157.5
hsa04962	Target_NonCentral	0.03	157.5
hsa04725	Target_Hypergeom	0.354	158.0
hsa04724	Target_NonCentral	0.052	158.5
hsa05030	Target_NonCentral	0.044	160.0
hsa04115	Target_NonCentral	0.133	160.0
hsa05211	Target_NonCentral	0.045	160.0
hsa04070	Target_NonCentral	0.063	160.0
hsa05144	Target_NonCentral	0.099	160.0
hsa04730	Target_Hypergeom	0.352	160.0
hsa05218	Target_NonCentral	0.081	160.5
hsa04216	Target_Hypergeom	0.355	161.0
hsa00620	Target_NonCentral	0.117	162.0
hsa04625	Target_NonCentral	0.077	162.0
hsa04971	Target_NonCentral	0.028	162.0
hsa04668	Target_NonCentral	0.181	162.0
hsa04330	Target_Hypergeom	0.365	162.0
hsa05031	Target_Hypergeom	0.309	162.25
hsa04140	Target_NonCentral	0.046	163.0
hsa04929	Target_Hypergeom	0.335	163.0
hsa04620	Target_NonCentral	0.169	163.0
hsa04970	Target_NonCentral	0.021	163.0
hsa04914	Target_NonCentral	0.077	163.0
hsa05415	Target_NonCentral	0.047	163.0
hsa04260	Target_NonCentral	0.049	163.5
hsa04926	Target_NonCentral	0.023	163.5
hsa04914	Target_Hypergeom	0.358	164.0
hsa04217	Target_NonCentral	0.097	164.0
hsa04350	Target_NonCentral	0.023	164.0
hsa05310	Target_NonCentral	0.114	164.0
hsa00860	Target_NonCentral	0.125	164.0
hsa04977	Target_Hypergeom	0.339	164.0
hsa04924	Target_NonCentral	0.018	164.0
hsa04730	Target_NonCentral	0.03	164.5
hsa04144	Target_NonCentral	0.079	165.0
hsa04270	Target_NonCentral	0.034	165.0
hsa04911	Target_Hypergeom	0.334	165.0
hsa04270	Target_Hypergeom	0.32	166.0
hsa05131	Target_NonCentral	0.03	166.0
hsa04915	Target_NonCentral	0.088	166.0
hsa04216	Target_NonCentral	0.028	166.0
hsa04612	Target_NonCentral	0.151	166.0
hsa05140	Target_NonCentral	0.15	166.5
hsa00830	Target_NonCentral	0.172	166.5
hsa05204	Target_NonCentral	0.155	166.5
hsa04964	Target_NonCentral	0.032	167.0
hsa05120	Target_NonCentral	0.029	167.0
hsa04622	Target_Hypergeom	0.376	167.75
hsa04120	Target_NonCentral	0.037	168.0
hsa00980	Target_NonCentral	0.188	168.0
hsa00270	Target_NonCentral	0.032	168.0
hsa04137	Target_NonCentral	0.038	168.0
hsa05208	Target_Hypergeom	0.295	168.0
hsa05100	Target_NonCentral	0.025	168.5
hsa04621	Target_NonCentral	0.181	168.5
hsa01040	Target_NonCentral	0.057	169.0
hsa00310	Target_NonCentral	0.032	169.0
hsa00564	Target_NonCentral	0.05	169.0
hsa05010	Target_NonCentral	0.042	169.0
hsa04540	Target_NonCentral	0.017	169.0
hsa03410	Target_NonCentral	0.141	171.0
hsa00562	Target_NonCentral	0.062	171.0
hsa04650	Target_NonCentral	0.041	171.0
hsa04614	Target_NonCentral	0.057	171.0
hsa04612	Target_Hypergeom	0.347	171.0
hsa04971	Target_Hypergeom	0.264	171.0
hsa03440	Target_NonCentral	0.098	171.5
hsa05133	Target_NonCentral	0.035	172.0
hsa01230	Target_NonCentral	0.111	172.0
hsa04950	Target_Hypergeom	0.324	172.5
hsa01212	Target_NonCentral	0.089	173.0
hsa04261	Target_Hypergeom	0.252	173.0
hsa05143	Target_NonCentral	0.074	173.5
hsa04610	Target_NonCentral	0.078	173.5
hsa03320	Target_NonCentral	0.183	174.0
hsa05171	Target_NonCentral	0.14	174.0
hsa04610	Target_Hypergeom	0.311	174.25
hsa04061	Target_NonCentral	0.18	175.0
hsa04141	Target_NonCentral	0.069	175.5
hsa04978	Target_NonCentral	0.037	176.0
hsa04114	Target_NonCentral	0.062	177.0
hsa05146	Target_NonCentral	0.047	177.0
hsa05030	Target_Hypergeom	0.236	177.0
hsa00240	Target_NonCentral	0.044	177.0
hsa04060	Target_NonCentral	0.201	177.5
hsa04710	Target_Hypergeom	0.267	177.5
hsa01100	Target_NonCentral	0.102	177.5
hsa00053	Target_NonCentral	0.125	178.0
hsa04150	Target_Hypergeom	0.248	178.0
hsa05168	TFs_Hypergeom	0.01	178.25
hsa00790	Target_NonCentral	0.058	178.5
hsa04630	TFs_Hypergeom	0.137	178.75
hsa04916	Target_Hypergeom	0.257	179.0
hsa05340	Target_Hypergeom	0.278	179.0
hsa05330	Target_NonCentral	0.187	179.0
hsa04926	TFs_Hypergeom	0.123	179.5
hsa00982	Target_NonCentral	0.172	179.5
hsa04392	Target_NonCentral	0.04	180.0
hsa04918	Target_Hypergeom	0.202	180.0
hsa02010	Target_NonCentral	0.039	181.5
hsa04710	Target_NonCentral	0.14	181.5
hsa04932	Target_NonCentral	0.018	181.5
hsa04137	TFs_Hypergeom	0.13	181.75
hsa05216	TFs_Hypergeom	0.221	182.0
hsa00051	Target_NonCentral	0.095	182.0
hsa01523	Target_NonCentral	0.02	182.0
hsa05022	Target_NonCentral	0.038	182.0
hsa04726	Target_NonCentral	0.015	182.0
hsa04940	Target_NonCentral	0.162	183.0
hsa04540	Target_Hypergeom	0.17	183.0
hsa04924	Target_Hypergeom	0.164	183.0
hsa00480	Target_NonCentral	0.024	183.5
hsa05132	TFs_Hypergeom	0.033	183.75
hsa05131	TFs_Hypergeom	0.038	184.5
hsa05208	TFs_Hypergeom	0.088	185.0
hsa00561	Target_NonCentral	0.031	185.0
hsa05032	Target_NonCentral	0.025	185.0
hsa04728	TFs_Hypergeom	0.096	185.5
hsa02010	Target_Hypergeom	0.202	186.0
hsa00100	Target_NonCentral	0.099	186.0
hsa04657	Target_NonCentral	0.142	186.0
hsa04972	Target_NonCentral	0.017	186.0
hsa03460	Target_NonCentral	0.046	186.0
hsa04217	TFs_Hypergeom	0.109	186.75
hsa05208	Target_NonCentral	0.009	187.0
hsa04923	Target_Hypergeom	0.158	187.0
hsa05030	TFs_Hypergeom	0.105	187.0
hsa05418	TFs_Hypergeom	0.096	187.25
hsa04152	TFs_Hypergeom	0.113	187.5
hsa04927	TFs_Hypergeom	0.1	187.75
hsa04114	Target_Hypergeom	0.218	188.0
hsa05213	TFs_Hypergeom	0.088	188.0
hsa04722	TFs_Hypergeom	0.1	188.0
hsa05135	TFs_Hypergeom	0.081	188.0
hsa05170	TFs_Hypergeom	0.052	188.0
hsa00071	Target_NonCentral	0.048	188.0
hsa05320	Target_NonCentral	0.153	188.0
hsa04340	Target_NonCentral	0.017	188.0
hsa00532	Target_NonCentral	0.044	188.0
hsa04916	TFs_Hypergeom	0.097	188.5
hsa05031	TFs_Hypergeom	0.074	188.5
hsa04340	Target_Hypergeom	0.152	188.5
hsa00640	Target_NonCentral	0.061	188.5
hsa04922	TFs_Hypergeom	0.08	189.0
hsa04672	Target_NonCentral	0.115	189.0
hsa04622	Target_NonCentral	0.09	189.0
hsa04621	TFs_Hypergeom	0.076	190.0
hsa00250	Target_NonCentral	0.071	190.0
hsa04613	Target_NonCentral	0.067	190.0
hsa03410	Target_Hypergeom	0.303	190.25
hsa04014	TFs_Hypergeom	0.029	190.5
hsa04657	TFs_Hypergeom	0.08	190.5
hsa04727	Target_NonCentral	0.031	190.5
hsa04062	TFs_Hypergeom	0.083	190.5
hsa04068	TFs_Hypergeom	0.098	190.5
hsa04623	Target_Hypergeom	0.304	191.0
hsa00380	Target_NonCentral	0.035	191.0
hsa00590	Target_NonCentral	0.027	191.0
hsa04662	TFs_Hypergeom	0.059	191.5
hsa04660	TFs_Hypergeom	0.059	191.5
hsa04925	TFs_Hypergeom	0.068	191.5
hsa05020	TFs_Hypergeom	0.011	192.0
